Wavelength (µm),"Reflectance, Unpol. (%)"
0.5,49.0579635
0.501,49.871376
0.502,50.7429
0.503,51.619446
0.504,52.508844
0.505,53.4009125
0.506,54.303254
0.507,55.215428
0.508,56.1087245
0.509,57.0281945
0.51,57.9218355
0.511,58.8168175
0.512,59.717736
0.513,60.589492
0.514,61.4646155
0.515,62.3115315
0.516,63.144713
0.517,63.9556705
0.518,64.7528255
0.519,65.4981105
0.52,66.2915265
0.521,67.025172
0.522,67.7400355
0.523,68.4478845
0.524,69.127224
0.525,69.7994515
0.526,70.460136
0.527,71.0603525
0.528,71.696632
0.529,72.285778
0.53,72.881348
0.531,73.445132
0.532,73.9731395
0.533,74.526194
0.534,75.032084
0.535,75.547833
0.536,76.0414225
0.537,76.52134
0.538,76.9762995
0.539,77.4308125
0.54,77.870886
0.541,78.295276
0.542,78.715703
0.543,79.0997215
0.544,79.509409
0.545,79.897316
0.546,80.250648
0.547,80.6187665
0.548,80.980824
0.549,81.340428
0.55,81.661026
0.551,81.9792525
0.552,82.30448
0.553,82.6089015
0.554,82.931389
0.555,83.214214
0.556,83.5095955
0.557,83.7837565
0.558,84.048749
0.559,84.3125795
0.56,84.573523
0.561,84.828912
0.562,85.0758415
0.563,85.313345
0.564,85.560082
0.565,85.779712
0.566,85.998356
0.567,86.2296
0.568,86.4179475
0.569,86.635127
0.57,86.8420615
0.571,87.0307
0.572,87.2445245
0.573,87.4281515
0.574,87.611001
0.575,87.795008
0.576,87.951138
0.577,88.154367
0.578,88.3236895
0.579,88.4743325
0.58,88.646383
0.581,88.8040365
0.582,88.9635085
0.583,89.1297905
0.584,89.2645035
0.585,89.4010795
0.586,89.5530155
0.587,89.6842795
0.588,89.823607
0.589,89.973143
0.59,90.092473
0.591,90.212554
0.592,90.3624165
0.593,90.4715355
0.594,90.584798
0.595,90.7153955
0.596,90.81834
0.597,90.9624125
0.598,91.063862
0.599,91.161727
0.6,91.259458
0.601,91.370002
0.602,91.468804
0.603,91.58209
0.604,91.673363
0.605,91.7656875
0.606,91.8662575
0.607,91.962493
0.608,92.0443315
0.609,92.136586
0.61,92.221103
0.611,92.3097565
0.612,92.4047875
0.613,92.4916645
0.614,92.571572
0.615,92.638336
0.616,92.721346
0.617,92.8033015
0.618,92.895242
0.619,92.965961
0.62,93.0168035
0.621,93.097667
0.622,93.174236
0.623,93.2409745
0.624,93.3318165
0.625,93.38585
0.626,93.458229
0.627,93.5070065
0.628,93.575565
0.629,93.649983
0.63,93.7152145
0.631,93.778866
0.632,93.841332
0.633,93.893086
0.634,93.965588
